symbol,korean_name,judgement,final_action,final_advice,final_score,price,change_24h,btc_regime,rs_vs_btc_24h,swing_structure,rsi14_240m,volume_ratio_240m,atr_pct_240m,trade_value_24h,ma_rising_240m,last_completed_240m,last_completed_60m,entry_status,entry_score,entry_distance_ma20_pct,entry_price,MA5_240m,MA20_240m,MA60_240m,MA120_240m,MA20_slope_pct_240m,MA60_slope_pct_240m,MA120_slope_pct_240m,MA20_60m,ATR14_60m,score_trend_4h,score_entry_1h,score_ma20_position,score_market_quality,score_penalty,score_penalty_overheat,score_penalty_below_ma20,score_penalty_daily_surge,atr,buy_zone_low,buy_zone_high,buy_reference,stop_price,risk_per_unit,risk_pct,take_profit_1,take_profit_2,runner_trigger_4r,breakeven_stop,trailing_stop_normal,trailing_stop_tight,trailing_stop_current,runner_mode,risk_budget,position_amount,position_quantity,actual_risk_amount,actual_risk_pct,position_capped
KRW-SNT,스테이터스네트워크토큰,우선관찰,관망 / 반등 확인,4시간봉이 LH/LL 하락 구조 → 최소한 HL 또는 HH 전환을 확인한 뒤 접근하는 편이 낫습니다.,100.0,9.77,5.66,Q3 Strong,5.8792828994102315,LH/LL,75.60022192599803,0.9687170168744194,4.870129870129871,13306422238,True,2026-08-26 17:00:00,2026-08-26 23:00:00,진입 관심,6,0.8620244670417776,9.77,9.568000000000001,8.809999999999999,8.088666666666667,7.732500000000001,2.0975779348707757,3.4047811820854923,1.0751282637822435,9.686499999999999,0.43714285714285694,30.0,40.0,20.0,10.0,0.0,0.0,0.0,0.0,0.43714285714285694,9.46792857142857,9.905071428571427,9.77,8.895714285714286,0.8742857142857137,8.948676707120919,11.081428571428571,11.955714285714283,13.267142857142854,9.77,9.77,9.77,9.77,기본 Trail(2ATR),500000.0,5587418.300653598,571895.4248366017,500000.0,0.5,False
KRW-MINA,미나,눌림 기다리기,매수 관심,Q3 Strong · BTC 대비 상대강도 우위 · HH/HL 상승 구조 · 거래량 확인 필요 → 진입구간 도달 여부를 확인한 뒤 분할 접근을 고려할 수 있습니다.,87.0,86.5,6.23,Q3 Strong,6.450039073154656,HH/HL,71.49208797027744,0.5548291070853658,4.022988505747123,562893536,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,5,1.092736516098869,86.5,85.44,81.735,69.01833333333335,62.7,2.25822594770424,4.428193166057248,4.300091491308344,85.565,1.357142857142856,30.0,30.0,20.0,7.0,0.0,0.0,0.0,0.0,1.357142857142856,84.88642857142857,86.24357142857143,86.24357142857143,83.52928571428572,2.714285714285708,3.1472325059424646,90.315,93.02928571428569,97.10071428571426,86.24357142857143,86.24357142857143,86.24357142857143,86.24357142857143,기본 Trail(2ATR),500000.0,15886973.684210561,184210.52631578987,499999.99999999994,0.49999999999999994,False
KRW-JUP,주피터,눌림 기다리기,분할매수 관심,Q3 Strong · BTC 대비 상대강도 우위 · HH/HL 상승 구조 · 거래량이 평균 이상 → 계획 매수구간과 손절선을 지키는 전제에서 우선순위가 높은 후보입니다.,82.7,303.0,2.99,Q3 Strong,3.2129660686398,HH/HL,64.84377496278603,1.1287012245835057,3.8018433179723505,1405787076,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,5,1.0673782521681163,303.0,298.2,292.9,267.31666666666666,258.28333333333336,1.3494809688581189,2.3025896160224546,1.1520511732645788,299.8,5.857142857142857,26.7,30.0,20.0,6.0,0.0,0.0,0.0,0.0,5.857142857142857,296.87142857142857,302.72857142857146,302.72857142857146,292.9214285714286,9.807142857142878,3.239582841772457,317.4392857142858,327.2464285714286,341.95714285714297,302.72857142857146,302.72857142857146,302.72857142857146,302.72857142857146,기본 Trail(2ATR),500000.0,15434085.943190062,50983.24836125262,500000.0,0.5,False
KRW-FLUID,플루이드,눌림 기다리기,관망,Swing 구조가 HH/LL로 혼재 · 진입 신호가 아직 완성되지 않음 → 추가 확인 전에는 신규 진입 우선순위를 낮게 두는 편이 좋습니다.,80.0,1970.0,7.35,Q3 Strong,7.577430200545788,HH/LL,59.14549246441177,3.752374810939829,4.889812011546856,22344571021,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,4,0.32848666955260786,1970.0,1992.0,1884.9,1776.3333333333333,1720.425,2.5014954592419425,1.7363331774228996,1.176672384219546,1963.55,102.42857142857143,30.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,102.42857142857143,1912.3357142857142,2014.7642857142857,1970.0,1842.1023809523808,127.89761904761917,6.492264926275085,2161.846428571429,2289.7440476190477,2481.5904761904767,1970.0,1970.0,1970.0,1970.0,기본 Trail(2ATR),500000.0,7701472.5319731105,3909.376919783305,500000.0,0.5,False
KRW-CHIP,유에스디에이아이,눌림 기다리기,관망,Swing 구조가 HH/LL로 혼재 · 진입 신호가 아직 완성되지 않음 → 추가 확인 전에는 신규 진입 우선순위를 낮게 두는 편이 좋습니다.,71.6,45.3,2.87,Q3 Strong,3.09269002044138,HH/LL,59.74324851352209,1.4746615925349535,4.1538933169834475,1777877328,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,4,0.9808292465448121,45.3,44.980000000000004,44.584999999999994,42.251666666666665,37.934999999999995,1.1915569677712012,1.4405185866912085,2.540883903230151,44.86,1.0142857142857156,25.6,20.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0142857142857156,44.35285714285714,45.36714285714286,45.3,44.09928571428571,1.2007142857142838,2.6505834121728125,47.10107142857142,48.30178571428571,50.10285714285713,45.3,45.3,45.3,45.3,기본 Trail(2ATR),500000.0,18863771.564544942,416418.7983343255,500000.00000000006,0.5000000000000001,False
KRW-MASK,마스크네트워크,눌림 기다리기,관망 / 반등 확인,4시간봉이 LH/LL 하락 구조 → 최소한 HL 또는 HH 전환을 확인한 뒤 접근하는 편이 낫습니다.,71.5,594.0,4.75,Q3 Strong,4.9767528800042875,LH/LL,67.52321845463119,8.911951210179891,2.7321139152581617,1759860864,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,4,0.050530570995444,594.0,594.8,588.95,551.2333333333333,529.3333333333334,0.7096443228454374,1.7661538461538617,1.7231439369675305,593.7,15.071428571428571,23.5,20.0,20.0,8.0,0.0,0.0,0.0,0.0,15.071428571428571,586.1642857142857,601.2357142857144,594.0,578.9285714285714,15.071428571428555,2.5372775372775345,616.6071428571429,631.6785714285713,654.2857142857142,594.0,594.0,594.0,594.0,기본 Trail(2ATR),500000.0,19706161.13744078,33175.355450237,500000.0,0.5,False
KRW-STX,스택스,눌림 기다리기,매수 관심,Q3 Strong · BTC 대비 상대강도 우위 · HH/HL 상승 구조 · 거래량 확인 필요 → 진입구간 도달 여부를 확인한 뒤 분할 접근을 고려할 수 있습니다.,70.0,382.0,4.46,Q3 Strong,4.679757358583247,HH/HL,69.20762955282478,0.9893697951426569,6.761904761904762,29086509325,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,3,1.9890535309037505,382.0,372.4,338.45,247.46666666666667,213.63333333333333,3.723567269383987,8.63330406789582,8.196167806195653,374.55,12.857142857142858,30.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,12.857142857142858,368.12142857142857,380.97857142857146,380.97857142857146,355.26428571428573,25.714285714285722,6.749535969402105,419.55000000000007,445.26428571428573,483.83571428571435,380.97857142857146,380.97857142857146,380.97857142857146,380.97857142857146,기본 Trail(2ATR),500000.0,7407916.666666665,19444.444444444438,500000.0,0.5,False
KRW-META,메타디움,눌림 기다리기,매수 관심,Q3 Strong · BTC 대비 상대강도 우위 · HH/HL 상승 구조 · 거래량 확인 필요 → 진입구간 도달 여부를 확인한 뒤 분할 접근을 고려할 수 있습니다.,68.6,10.4,1.51,Q3 Strong,1.7304705344906357,HH/HL,55.96115271935745,0.5854797772540763,2.291371994342292,102359891,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,5,2.766798418972316,10.4,10.138000000000002,10.013000000000002,9.534833333333333,9.4385,0.3608299087902278,1.0956192899680195,0.45232013622817924,10.120000000000001,0.1942857142857147,13.6,30.0,20.0,5.0,0.0,0.0,0.0,0.0,0.1942857142857147,10.022857142857143,10.217142857142859,10.217142857142859,9.956190476190475,0.26095238095238393,2.5540641312453682,10.608571428571434,10.86952380952382,11.260952380952395,10.217142857142859,10.217142857142859,10.217142857142859,10.217142857142859,기본 Trail(2ATR),500000.0,19576642.335766204,1916058.3941605622,500000.00000000006,0.5000000000000001,False
KRW-ORDER,오덜리,눌림 기다리기,관망,Swing 구조가 LH/HL로 혼재 · 진입 신호가 아직 완성되지 않음 → 추가 확인 전에는 신규 진입 우선순위를 낮게 두는 편이 좋습니다.,68.2,43.6,2.55,Q3 Strong,2.7751370223825345,LH/HL,61.06897351774356,1.9631138955387952,2.149321266968326,258494049,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,5,0.7626531083891885,43.6,43.28,42.85,41.858333333333334,41.144999999999996,0.2691002691002753,0.4118023348792743,0.9136059844257582,43.269999999999996,0.6071428571428577,13.2,30.0,20.0,5.0,0.0,0.0,0.0,0.0,0.6071428571428577,42.966428571428565,43.57357142857143,43.57357142857143,42.57142857142857,1.0021428571428572,2.299886890808649,45.07678571428571,46.07892857142857,47.582142857142856,43.57357142857143,43.57357142857143,43.57357142857143,43.57357142857143,기본 Trail(2ATR),500000.0,20000000.0,458993.81997606676,459977.3781617298,0.45997737816172973,True
KRW-KITE,카이트,눌림 기다리기,관망 / 반등 확인,4시간봉이 LH/LL 하락 구조 → 최소한 HL 또는 HH 전환을 확인한 뒤 접근하는 편이 낫습니다.,67.1,154.0,5.3,Q3 Strong,5.520946091081546,LH/LL,64.29573236529255,4.438512167716989,2.7403414195867026,2540177283,True,2026-08-26 17:00:00,2026-08-26 23:00:00,눌림 확인,4,0.35842293906811484,154.0,153.6,152.15,142.05,142.03333333333333,0.861783228372559,1.2232779097387292,0.6674148012521419,153.45,4.142857142857143,19.1,20.0,20.0,8.0,0.0,0.0,0.0,0.0,4.142857142857143,151.3785714285714,155.52142857142857,154.0,149.85714285714286,4.142857142857139,2.690166975881259,160.21428571428572,164.35714285714283,170.57142857142856,154.0,154.0,154.0,154.0,기본 Trail(2ATR),500000.0,18586206.896551743,120689.65517241391,500000.0,0.5,False
